-,train_loss,train_acc,val_loss,val_acc
0,0.5643620491027832,0.75,0.58545196,0.67522323
1,0.545522928237915,0.71875,0.57440794,0.67745537
2,0.5407611727714539,0.78125,0.5360408,0.7042411
3,0.5543903708457947,0.75,0.53406155,0.68191963
4,0.4649244546890259,0.8125,0.47017905,0.73995537
5,0.48361289501190186,0.6875,0.33471364,0.7578125
6,0.42681601643562317,0.84375,0.4100391,0.7734375
7,0.29064735770225525,0.90625,0.38347888,0.7723214
8,0.4445227384567261,0.78125,0.3084969,0.78683037
9,0.3654415011405945,0.78125,0.3452478,0.80803573
